Date,Gasoline_Consumption(Millions of Gallons),Z_Consumption
1995-01-01,9326.478,-2.38995347681846
1995-02-01,8797.362,-3.0482307177371646
1995-03-01,10139.346,-1.378658214019555
1995-04-01,9640.68,-1.9990523782859277
1995-05-01,10277.652,-1.2065906672386928
1995-06-01,10357.62,-1.1071018700717439
1995-07-01,10269.588,-1.2166231509866208
1995-08-01,10659.642,-0.7313540022001461
1995-09-01,9810.36,-1.7879521994232852
1995-10-01,10130.694,-1.389422233040769
1995-11-01,9910.95,-1.662807415171793
1995-12-01,10079.58,-1.4530135492971634
1996-01-01,9466.716,-2.2154823141396562
1996-02-01,9255.834,-2.477842214651865
1996-03-01,10145.016,-1.3716041238842933
1996-04-01,9920.064,-1.6514686184358547
1996-05-01,10508.358,-0.9195675775128281
1996-06-01,10190.922,-1.3144921200484339
1996-07-01,10631.208,-0.766728957915494
1996-08-01,10863.006,-0.4783473026820989
1996-09-01,9654.414,-1.9819658044027382
1996-10-01,10537.674,-0.883095318887549
1996-11-01,9972.438,-1.5863097265938464
1996-12-01,10148.418,-1.3673716698031364
1997-01-01,9506.28,-2.1662604407513864
1997-02-01,9017.022,-2.774950040645178
1997-03-01,10150.182,-1.3651770639832759
1997-04-01,10160.388,-1.352479701739805
1997-05-01,10596.936,-0.8093670138441871
1997-06-01,10442.712,-1.0012382655233016
1997-07-01,11061.162,-0.2318199155845866
1997-08-01,10719.534,-0.6568419093639761
1997-09-01,10108.392,-1.4171683209061308
1997-10-01,10599.54,-0.8061273576339173
1997-11-01,10035.438,-1.5079309473131624
1997-12-01,10500.63,-0.9291820411045932
1998-01-01,9918.048,-1.6539767393728362
1998-02-01,9068.136,-2.7113587243887833
1998-03-01,10420.578,-1.028775343310582
1998-04-01,10473.12,-0.96340744139049
1998-05-01,10779.3,-0.5824865740863678
1998-06-01,10735.704,-0.6367246893486005
1998-07-01,11301.822,0.0675870212676259
1998-08-01,11156.166,-0.11362471642931646
1998-09-01,10470.81,-0.9662813299641166
1998-10-01,10908.408,-0.42186232908048593
1998-11-01,10290.042,-1.1911761739801592
1998-12-01,11002.698,-0.3045554227570612
1999-01-01,10027.08,-1.5183291986977334
1999-02-01,9444.456,-2.2431761494854983
1999-03-01,10582.194,-0.8277076481958674
1999-04-01,10716.972,-0.6600293130547239
1999-05-01,10962.336,-0.3547700940162206
1999-06-01,11196.318,-0.06367130776776049
1999-07-01,11641.938,0.4907279243442783
1999-08-01,11170.488,-0.09580660727284082
1999-09-01,10464.3,-0.9743804704897876
1999-10-01,11121.054,-0.15730782274841662
1999-11-01,10382.526,-1.0761161259961145
1999-12-01,11534.46,0.35701372689143024
2000-01-01,9963.87,-1.5969692405760185
2000-02-01,10098.438,-1.4295521680324785
2000-03-01,10813.488,-0.5399530231967166
2000-04-01,10552.332,-0.8648591895749105
2000-05-01,11276.244,0.035765236879668816
2000-06-01,11118.87,-0.16002495376347942
2000-07-01,11252.052,0.005667785635885042
2000-08-01,11614.68,0.4568160391755026
2000-09-01,10732.092,-0.6412184060273587
2000-10-01,10958.556,-0.35947282077306025
2000-11-01,10563.756,-0.8506465042653477
2000-12-01,11288.13,0.05055269990395612
2001-01-01,10545.234,-0.8736898653738675
2001-02-01,9682.596,-1.9469043638045136
2001-03-01,11108.832,-0.172513305928869
2001-04-01,10804.584,-0.5510305573350515
2001-05-01,11335.044,0.10891876420830626
2001-06-01,10949.148,-0.37117738514564397
2001-07-01,11747.988,0.6226655361334287
2001-08-01,11657.184,0.5096955889302028
2001-09-01,10782.156,-0.5789334027589749
2001-10-01,11268.348,0.0259417632098223
2001-11-01,10932.768,-0.3915558677586208
2001-12-01,11177.838,-0.08666241635676057
2002-01-01,10711.638,-0.6666653830338204
2002-02-01,10121.622,-1.4007087772571876
2002-03-01,11269.44,0.027300328717354844
2002-04-01,11044.782,-0.2521983981975657
2002-05-01,11820.186,0.7124876171890929
2002-06-01,11516.568,0.33475415357571625
2002-07-01,11904.48,0.8173584238666478
2002-08-01,12124.896,1.091579646310002
2002-09-01,10945.032,-0.3762981320586486
2002-10-01,11475.492,0.2836511894847114
2002-11-01,11124.036,-0.15359789386246428
2002-12-01,11579.19,0.41266266018071757
2003-01-01,10954.398,-0.36464582020558695
2003-02-01,10025.946,-1.5197400167247856
2003-03-01,11199.384,-0.05985687384276632
2003-04-01,11135.922,-0.1388104308381747
2003-05-01,11772.348,0.6529719974552939
2003-06-01,11554.41,0.38183367366364773
2003-07-01,11967.564,0.8958417081863737
2003-08-01,12253.71,1.2518381236792386
2003-09-01,11246.55,-0.0011772944212951962
2003-10-01,11858.112,0.759671642316064
2003-11-01,11271.372,0.029703944615294423
2003-12-01,11732.238,0.6030708413132577
2004-01-01,11333.91,0.10750794618125394
2004-02-01,10764.096,-0.6014019861527725
2004-03-01,11749.29,0.6242853642385647
2004-04-01,11498.634,0.3124423277404824
2004-05-01,11951.604,0.8759857507685992
2004-06-01,11745.468,0.619530384962203
2004-07-01,12183.402,1.1643674060019966
2004-08-01,12143.25,1.1144139973404406
2004-09-01,11359.488,0.13932973056921102
2004-10-01,11844.084,0.7422193007962337
2004-11-01,11409.468,0.20151022879855535
2004-12-01,11985.624,0.9183102915801691
2005-01-01,11473.98,0.28177009878197423
2005-02-01,10421.04,-1.0282005655958553
2005-03-01,11709.642,0.5749589858112529
2005-04-01,11500.734,0.31505495371650566
2005-05-01,12080.376,1.0361919756183182
2005-06-01,11809.476,0.6991632247113777
2005-07-01,12413.016,1.4500319302203288
2005-08-01,12417.342,1.455413939730937
2005-09-01,11233.068,-0.017950353187361524
2005-10-01,11765.082,0.6439323115782555
2005-11-01,11484.984,0.2954602588963347
2005-12-01,12102.762,1.0640425685227217
2006-01-01,11508.882,0.32519194250347316
2006-02-01,10479.714,-0.9552037958257794
2006-03-01,11788.938,0.6736117426658742
2006-04-01,11533.998,0.3564389491767058
2006-05-01,12118.47,1.0835850108233707
2006-06-01,11942.7,0.8649082166302643
2006-07-01,12508.524,1.5688541596098453
2006-08-01,12451.992,1.4985222683353125
2006-09-01,11637.024,0.4846143795603841
2006-10-01,12065.13,1.0172243110323915
2006-11-01,11647.902,0.498147782116183
2006-12-01,12158.076,1.1328591367311605
2007-01-01,11568.942,0.3999130454177246
2007-02-01,10591.56,-0.8160553363428057
2007-03-01,11949.252,0.8730596096754549
2007-04-01,11611.446,0.45279259517242704
2007-05-01,12283.446,1.2888329074997225
2007-06-01,11959.122,0.8853389517627609
2007-07-01,12550.734,1.6213679417279048
2007-08-01,12475.722,1.5280449418643698
2007-09-01,11660.334,0.5136145278942388
2007-10-01,12025.356,0.9677411750465204
2007-11-01,11628.792,0.4743728857343748
2007-12-01,12044.634,0.99172508150641
2008-01-01,11470.452,0.2773808871422556
2008-02-01,10799.04,-0.5579278899117515
2008-03-01,11804.226,0.6926316597713207
2008-04-01,11481.414,0.2910187947370963
2008-05-01,12044.928,0.992090849143053
2008-06-01,11478.222,0.2870476032535405
2008-07-01,11913.006,0.8279656853293003
2008-08-01,11892.762,0.802779970920442
2008-09-01,10706.472,-0.6730924429348378
2008-10-01,11749.542,0.6245988793556857
2008-11-01,11218.83,-0.03566395730479532
2008-12-01,11623.416,0.4676845632357562
2009-01-01,11227.062,-0.025422463478785986
2009-02-01,10391.724,-1.0646728242211343
2009-03-01,11591.37,0.42781589084165017
2009-04-01,11376.666,0.16070101105307735
2009-05-01,11827.326,0.7213705455075697
2009-06-01,11566.59,0.39698690432458034
2009-07-01,12057.066,1.0071918272844658
2009-08-01,12101.838,1.0628930130932706
2009-09-01,11227.356,-0.025056695842142956
2009-10-01,11700.234,0.5632544214386715
2009-11-01,11221.098,-0.03284232125069066
2009-12-01,11628.372,0.4738503605391701
2010-01-01,11092.452,-0.19289178854184807
2010-02-01,10089.324,-1.440890964768417
2010-03-01,11448.276,0.2497915568354555
2010-04-01,11475.828,0.28406920964087423
2010-05-01,11929.554,0.8485531780203607
2010-06-01,11731.818,0.602548316118053
2010-07-01,12109.734,1.0727164867631171
2010-08-01,12050.556,0.9990926867587949
2010-09-01,11481.456,0.2910710472566161
2010-10-01,11738.328,0.610647456643724
2010-11-01,11108.076,-0.1734538512802387
2010-12-01,11601.912,0.44093127324128395
2011-01-01,10897.95,-0.4348732064410779
2011-02-01,10118.346,-1.404784473779783
2011-03-01,11455.836,0.25919701034913695
2011-04-01,11083.296,-0.20428283779730627
2011-05-01,11480.07,0.2893467141124405
2011-06-01,11424.462,0.2201643782673566
2011-07-01,11758.656,0.6359376760916263
2011-08-01,11620.728,0.4643404019864468
2011-09-01,11017.314,-0.28637154596394254
2011-10-01,11260.452,0.016118289539975784
2011-11-01,10756.788,-0.6104939245493307
2011-12-01,11305.77,0.07249875810254916
2012-01-01,10663.926,-0.7260242452090601
2012-02-01,10472.07,-0.9647137543785027
2012-03-01,11173.848,-0.09162640571120362
2012-04-01,11013.072,-0.29164905043550887
2012-05-01,11690.91,0.5516543621051296
2012-06-01,11334.372,0.10808272389597837
2012-07-01,11470.998,0.2780601698960219
2012-08-01,11918.298,0.8345495027888793
2012-09-01,10786.65,-0.5733423831702875
2012-10-01,11328.366,0.10061061360455391
2012-11-01,10688.076,-0.6959790464847984
2012-12-01,10922.31,-0.404566745119215
2013-01-01,10847.088,-0.4981510075803513
2013-02-01,9872.94,-1.710095945337806
2013-03-01,11249.994,0.0031074121793838406
2013-04-01,11157.762,-0.11163912068753742
2013-05-01,11761.512,0.6394908474190171
2013-06-01,11437.692,0.2366239219162997
2013-07-01,11908.26,0.8220611506234897
2013-08-01,11879.742,0.7865816898691
2013-09-01,11272.548,0.031167015161868802
2013-10-01,11644.962,0.49449010574975044
2013-11-01,11242.728,-0.005932273697656834
2013-12-01,11287.71,0.05003017470875147
2014-01-01,10772.034,-0.5915262599634062
2014-02-01,10168.536,-1.3423427129528376
2014-03-01,11323.074,0.09402679614497712
2014-04-01,11283.468,0.044752670237187445
2014-05-01,11747.694,0.6222997684967857
2014-06-01,11389.602,0.17679478706537968
2014-07-01,12041.778,0.9881719101790193
2014-08-01,12123.006,1.08922828293158
2014-09-01,11115.216,-0.16457092296175965
2014-10-01,11910.57,0.8249350391971142
2014-11-01,11240.67,-0.008492647154158036
2014-12-01,11640.888,0.4894216113562678
2015-01-01,11248.104,0.0007560488009617832
2015-02-01,10382.4,-1.0762728835546762
2015-03-01,11791.626,0.6769559039151835
2015-04-01,11578.728,0.4120878824659909
2015-05-01,12059.712,1.0104837360142531
2015-06-01,11865.504,0.7688680857516663
2015-07-01,12330.318,1.3471467192845505
2015-08-01,12317.046,1.3306349231160877
2015-09-01,11703.636,0.5674868755198285
2015-10-01,12036.57,0.981692597758482
2015-11-01,11480.658,0.29007824938572657
2015-12-01,11910.15,0.8244125140019095
2016-01-01,11266.584,0.02374715738996413
2016-02-01,11231.514,-0.019883696409618505
2016-03-01,12203.856,1.1898143830084582
2016-04-01,11561.172,0.39024632930644193
2016-05-01,12260.808,1.260668799478198
2016-06-01,12105.996,1.068066012525795
2016-07-01,12470.01,1.5209385992095883
2016-08-01,12612.6,1.6983359029815364
2016-09-01,11949.504,0.8733731247925782
2016-10-01,11839.506,0.7365237761685023
2016-11-01,11633.874,0.4806954405963504
2016-12-01,12086.718,1.0440821060659078
2017-01-01,11075.736,-0.21368829131098774
2017-02-01,10593.114,-0.8141219931205487
2017-03-01,12141.486,1.1122193915205825
2017-04-01,11711.91,0.5777806218653576
2017-05-01,12433.848,1.4759491799024753
2017-06-01,12313.056,1.3256709337616446
2017-07-01,12492.984,1.5495207273872778
2017-08-01,12696.726,1.80299769958101
2017-09-01,11815.734,0.7069488501199255
2017-10-01,12182.982,1.1638448808067918
2017-11-01,11479.188,0.2882494112025114
2017-12-01,12039.006,0.9847232438906681
2018-01-01,11441.43,0.24127439615362176
2018-02-01,10344.264,-1.1237181712792508
2018-03-01,12322.842,1.337845770809911
2018-04-01,11599.518,0.4379528796286177
2018-05-01,12388.866,1.419986731496067
2018-06-01,12344.262,1.3644945557653436
2018-07-01,12551.784,1.6226742547159152
2018-08-01,12731.166,1.8458447655877823
2018-09-01,11532.234,0.3542443433568477
2018-10-01,12100.578,1.0613254375076566
2018-11-01,11705.904,0.5703085115739331
2018-12-01,11950.47,0.8745749327415469
2019-01-01,11429.46,0.22638242809029036
2019-02-01,10668.462,-0.7203809731008508
2019-03-01,11957.652,0.8835101135795457
2019-04-01,11857.356,0.7587310969646965
2019-05-01,12365.64,1.3910910882012542
2019-06-01,12226.158,1.21756047087382
2019-07-01,12411.924,1.4486733647127985
2019-08-01,12803.448,1.9357713516824884
2019-09-01,11588.85,0.4246807396704223
2019-10-01,12119.268,1.0845778086942603
2019-11-01,11603.424,0.4428123639440211
2019-12-01,11680.536,0.5387479897835773
2020-01-01,11358.06,0.13755314490551565
2020-02-01,11023.446,-0.2787426781139565
2020-03-01,10128.258,-1.3924528791729551
2020-04-01,7390.866,-4.798063091438193
2020-05-01,9371.796,-2.333573008255887
2020-06-01,10447.332,-0.9954904883760505
2020-07-01,11015.298,-0.288879666900924
2020-08-01,11098.374,-0.18552418328946318
2020-09-01,10761.786,-0.604275874726397
2020-10-01,10827.978,-0.5219259039621595
2020-11-01,10081.722,-1.4503486708016204
2020-12-01,10227.756,-1.2686666604289953
2021-01-01,10055.766,-1.4826407278652622
2021-02-01,9200.52,-2.5466587828603062
2021-03-01,11136.216,-0.13844466320153168
2021-04-01,11137.602,-0.1367203300573561
2021-05-01,11823.168,0.7161975460750453
2021-06-01,11795.7,0.6820243983086683
2021-07-01,12104.778,1.0665506894597032
2021-08-01,11955.384,0.8806884775254411
2021-09-01,11254.908,0.009220956963275758
2021-10-01,11753.07,0.6289880909954043
2021-11-01,11366.544,0.14810815384864823
2021-12-01,11561.004,0.39003731922836055
